,Y,X,הסבר,שם המאגר,מספר
58,697586,194574,"בתי גידול לחים, מיקום באזור שבעבר היו  עושר ושפע מיני עופות מים גבוה",מאגר עין החורש,59
59,696785,195946,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","העוגן, בריכות מז'",60
60,697500,197000,"משמש לממשק שקנאים, מיקום באזורמיני  שבעבר היו בתי גידול לחים, עושר ושפעעופות מים גבוה נוכחות קבועה של מינים  בסיכון",אפיקי עמק-מאגר חץ חפר,61
61,698843,201176,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון",מאגר להבות חביבה,62
62,696499,201149,"משמש לממשק שקנאים, מיקום באזורגידול לחים, עושר ושפע מיני שבעבר היו בתי עופות מים גבוה נוכחות קבועה של מינים  בסיכון",בחן,63
63,695453,196655,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","העוגן, מאגר א'",64
64,695031,197167,"משמש לממשק שקנאים, מיקום באזורגידול לחים, עושר ושפע מיני שבעבר היו בתי עופות מים גבוה נוכחות קבועה של מינים  בסיכון",מאגר משמר השרון,65
65,694600,196700,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון",בורגתא מאגר צפון,66
66,683399,184263,"בתי גידול לחים, מיקום באזור שבעבר היו  עושר ושפע מיני עופות מים גבוה",מאגר יקום,67
67,683228,188756,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",נתיב-מאגר תל יצחק,68
68,682220,183643,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה",מאגר געש,69
69,672817,191961,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","הוד השרון, ב.ח.",70
70,669417,186515,"מיקום באזור שבעבר היו בתי גידול לחים,  עושר ושפע מיני עופות מים גבוה","רמת השרון, ב.ח.",71
71,652701,175619,"שבעבר היו בתי גידול לחים, מיקום באזור  עושר ושפע מיני עופות מים גבוה","שפד""ן - חלחול, ב.ח.",72
72,646500,191700,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר נשר,73
73,644264,188591,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר נען,74
74,640746,178498,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון",מאגר גבעת ברנר,75
75,639000,197600,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר לטרון,76
76,636411,188355,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון",חולדה-מאגר משמר דוד,77
77,636500,186000,"מיקום באזור שבעבר היו בתי גידול לחים, עושר ושפע מיני עופות מים גבוה נוכחות  קבועה של מינים בסיכון","יסודות, מאגר צפון",78
78,631100,171700,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,'מאגר חצור ב,79
79,632300,183200,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"'רבדים, מאגר א",80
80,631700,183800,נוכחותעושר ושפע מיני עופות מים גבוה  קבועה של מינים בסיכון,"'רבדים, מאגר מזרח ב",81
81,632596,187729,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר ענות,82
82,633100,190800,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר הראל,83
83,631000,192700,עופות מים גבוהשפע ועושר מיני ,"צרעה, מאגר א'",84
84,629905,194785,שפע ועושר מיני עופות מים גבוה,"צרעה, מאגר ב'",85
85,629500,195600,שפע ועושר מיני עופות מים גבוה,"מזרחי - צרעה, מאגר ג'",86
86,630100,184500,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,שורש -מאגר צובה,87
87,629623,185919,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר נחשון,89
88,628500,181600,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר כפר מנחם,90
89,624951,183894,עושר ושפע מיני עופות מים גבוה נוכחות מינים בסיכוןקבועה של ," 2כפר מנחם, מאגר ",91
90,624975,178440,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,מאגר תימורים,92
91,623054,179045,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"עציון, מאגר גד""ש",93
92,624767,164390,עופות מים גבוהשפע ועושר מיני ,צפוןמאגר ניצנים ,94
93,620529,173710,שפע ועושר מיני עופות מים גבוה, המאגר נגב,95
94,618300,166500,עושר ושפע מיני עופות מים גבוה נוכחות קבועה של מינים בסיכון,"מיש""עמאגר ",96
95,616400,181700,שפע ועושר מיני עופות מים גבוה,גלאון מאגר ,97
96,613100,175600,שפע ועושר מיני עופות מים גבוה,עוזה שקףמאגר ,98
97,612500,171500,שפע ועושר מיני עופות מים גבוה,זוהרמאגר ,99
98,612253,153887,שפע ועושר מיני עופות מים גבוה,שיקמהמאגר ,100
99,587657,150893,שפע ועושר מיני עופות מים גבוה,מאגר רעים,101
100,586192,148583,ועושר מיני עופות מים גבוהשפע ,מאגר נירים,102
101,577974,169804,שפע ועושר מיני עופות מים גבוה,מאגר אריה,103
102,546324,179332,"שפע ועושר מיני עופות מים גבוה, נקודת עצירה במדבר",מאגר משאבי שדה,104
103,544172,189821,"שפע ועושר מיני עופות מים גבוה, נקודת עצירה במדבר, נוף",אגם ירוחם,105
104,561740,235612,"נקודת עצירה במדבר, קינון מינים אדומים",מאגר חימר,106
105,545992,233681,נקודת עצירה במדבר,בריכות נאווית,107
106,543041,234099,נקודת עצירה במדבר,מאגר צין,108
107,391100,198800,"שפע ועושר מיני עופות מים גבוה, נקודת עצירה במדבר",ביוב-אילתמאגר ,109
